432,184,4621384368
433,186,4608033786
438,190,4602341648
308,60,4597556150
428,180,4585981600
436,189,4583901760
432,185,4582198596
442,194,4580373332
438,189,4579422130
433,184,4570449540
432,183,4567040388
433,187,4558272615
430,182,4548351870
437,190,4546131210
438,191,4543968592
430,184,4542286606
428,181,4541362400
435,189,4532451920
433,185,4531263768
431,182,4530402522
439,190,4528297008
439,192,4526879916
431,184,4524119028
437,189,4523211692
441,194,4523163408
430,180,4522926768
429,182,4522428110
440,193,4517845794
429,184,4516708398
433,183,4516704515
442,193,4515458572
428,179,4511169147
442,195,4507516797
439,189,4505746230
431,180,4505254864
430,185,4503925569
443,194,4498909911
429,180,4496743200
426,180,4496010693
437,191,4488471090
430,183,4487724396
431,185,4485757991
427,180,4483159829
429,185,4478563377
430,181,4478047760
439,193,4475917116
443,196,4470314496
439,191,4469923952
431,183,4469775048
429,183,4462146188
426,178,4460837104
425,180,4460789529
431,181,4460375856
441,193,4458248648
426,181,4452391895
429,181,4452124000
441,195,4451216868
430,179,4449570087
427,178,4448200688
427,181,4439541031
443,193,4435149681
444,197,4433035145
431,179,4432184801
426,177,4427648100
443,195,4426053376
425,178,4425298436
429,179,4423386519
426,179,4420983792
425,181,4417512435
427,177,4415105700
427,179,4408347376
422,174,4406145156
422,175,4399898475
443,197,4397796942
425,177,4392109432
425,179,4385762628
423,174,4369983177
320,72,4365769232
423,175,4363736496
422,172,4360917568
446,197,4354085988
448,198,4338342318
445,197,4335416595
422,173,4326032028
423,172,4325413091
420,174,4312325124
447,198,4310370132
420,175,4306226683
421,174,4301582916
421,175,4295484475
448,197,4295444262
422,171,4294031616
423,173,4290527551
447,197,4267472076
420,172,4266054272
449,198,4262297136
448,199,4262140180
423,171,4259071692
421,172,4255512128
420,170,4246453256
421,170,4236076808
447,199,4234659320
419,174,4233938832
420,173,4232011932
419,175,4227951244
449,200,4226314112
421,173,4221469788
449,197,4220151024
418,170,4200745913
420,171,4199002624
420,169,4189329958
421,171,4188626176
419,172,4187037440
449,199,4186094998
450,202,4183104714
416,169,4179673252
421,169,4179093094
419,170,4166543498
450,201,4165391394
417,170,4161374070
418,171,4154188207
419,173,4153625640
449,202,4145542056
418,169,4143153700
452,202,4139450010
414,168,4128206882
449,201,4127828736
415,168,4124274200
452,201,4122072610
419,171,4119985792
452,204,4115435796
417,171,4115252730
450,203,4113570976
419,169,4109420200
417,169,4103781857
451,202,4103775230
451,201,4086397830
451,204,4080365484
453,202,4078544778
449,203,4076632704
414,169,4071939278
452,203,4069311804
415,169,4068006596
453,201,4061423058
453,204,4053840228
413,168,4037322302
414,166,4036212876
451,203,4034241492
415,166,4032379722
414,167,4023730554
415,167,4019897400
452,206,4014946470
453,203,4008406572
452,205,4007070189
454,206,4006745589
454,205,3998990380
413,169,3982293458
451,206,3980799612
451,205,3972923331
414,165,3953341688
453,206,3953229830
415,165,3949587236
453,205,3945474621
413,166,3945046356
452,207,3940426910
413,167,3932845974
454,207,3931217241
412,164,3917569440
455,206,3916993290
455,205,3909411800
451,207,3906913836
413,164,3894198512
412,165,3885546096
455,208,3881458554
453,207,3878710270
413,165,3862175168
410,164,3856661193
455,207,3841464942
412,163,3833426340
411,164,3829677390
410,165,3825356304
456,209,3815481824
413,163,3810557382
410,162,3802991892
411,165,3798372501
455,209,3789511136
409,164,3783335215
411,162,3776600959
410,163,3771925223
409,165,3752625520
411,163,3745534290
409,162,3729061980
410,161,3723986700
458,209,3704157240
457,209,3701663889
409,163,3698599245
411,161,3698144025
409,161,3650056788
459,210,3645626380
460,212,3626426765
459,209,3622525720
460,211,3594370000
459,212,3593826665
459,211,3561769900
336,88,3547585822
407,158,3541664928
461,212,3538358260
407,159,3528921600
460,213,3528380055
461,211,3507080000
459,213,3496661355
406,156,3449710702
406,157,3448327292
461,213,3440311550
407,156,3428761922
407,157,3427378512
404,156,3380106524
404,157,3378760389
406,154,3362418048
405,156,3356760697
462,216,3356495935
405,157,3355414562
406,155,3348643936
407,154,3342083008
461,216,3329609700
407,155,3328308896
404,154,3291728629
403,156,3287916208
403,157,3286606788
404,155,3278336852
406,153,3277411128
463,216,3269786091
405,154,3269085708
462,217,3265485704
407,153,3257590188
405,155,3255693931
461,217,3239328480
404,153,3206132919
463,218,3202608620
403,154,3199161722
403,155,3186146536
405,153,3184078788
463,217,3178775860
466,216,3158841126
463,219,3117901302
403,153,3113566012
466,218,3090233951
467,216,3081559530
466,217,3067355949
467,218,3012375947
466,219,3005087869
467,217,2990074353
344,94,2988812160
401,150,2965645289
401,151,2956421809
467,219,2927229865
401,149,2869404288
398,150,2851439572
398,151,2842596332
467,222,2819590862
398,149,2754925976
397,150,2744633600
467,223,2739186999
397,151,2736121600
396,149,2656186029
397,149,2648120004
395,148,2569818740
395,149,2551952620
394,147,2480936856
395,147,2470965528
393,147,2383149708
394,144,2368672428
395,144,2359192380
393,144,2270471964
394,143,2259162360
395,143,2250120600
393,142,2166320352
393,143,2160961896
392,141,2082385500
393,141,2067046800
390,141,1974491607
391,141,1970396340
388,141,1866711693
389,141,1862828007
387,141,1758078938
249,218,1691928635
249,217,1679445717
357,110,1640052696
249,219,1606489405
248,218,1525241870
1525241870
